identifier,type,title,date
kst-31226-27,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Luijben",2007-12-11
kst-31226-28,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Luijben",2007-12-11
kst-31226-29,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van de leden Omtzigt en Hamer",2007-12-11
kst-31226-30,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Omtzigt",2007-12-11
kst-31226-12,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Blok",2007-11-12
kst-31226-33,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Nader Gewijzgd Amendement van de leden Hamer en Omtzigt ter vervanging van Dat gedrukt onder nr. 22",2007-12-13
kst-31226-5,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Blok",2007-10-17
kst-31226-16,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Luijben",2007-11-29
kst-31226-31,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van het lid Blok ter vervanging van Dat gedrukt onder nr. 9",2007-12-12
kst-31226-32,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van de leden Omtzigt en Hamer ter vervanging van Dat gedrukt onder nr. 26",2007-12-13
kst-31226-24,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van de leden Omtzigt en Hamer ter vervanging van Dat gedrukt onder nr. 18",2007-12-11
kst-31226-17,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van de leden Omtzigt en Hamer",2007-11-29
kst-31226-30,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Omtzigt",2007-12-11
kst-19637-720,Brief,Vreemdelingenbeleid; Brief minister inzake uitkomst discussie over bevoegdheden minister i.v.m. oplossing langdurig in Nederland verblijvende asielzoekers,2003-02-18
kst-19637-657,Motie,Vreemdelingenbeleid; Motie inzake voorstel specifieke regeling verblijfsvergunning voor langdurig in procedure zijnde asielzoekers en uitgeproceerden,2002-04-09
kst-19637-720,Brief,Vreemdelingenbeleid; Brief minister inzake uitkomst discussie over bevoegdheden minister i.v.m. oplossing langdurig in Nederland verblijvende asielzoekers,2003-02-18
kst-19637-657,Brief,Vreemdelingenbeleid; Motie inzake voorstel specifieke regeling verblijfsvergunning voor langdurig in procedure zijnde asielzoekers en uitgeproceerden,2002-04-09
kst-19637-721,Motie,Vreemdelingenbeleid; Motie over een specifieke regeling voor asielzoekers die per 1 maart 2003 vijf jaar of langer in Nederland verblijven,2003-02-18
kst-19637-722,Motie,Vreemdelingenbeleid; Motie over voorstel voor regeling voor het verstrekken van een verblijfsvergunning aan bepaalde asielzoekers die langer dan vijf jaar in Nederland zijn,2003-02-18
kst-19637-724,Motie,Vreemdelingenbeleid; Motie over het gebruiken van de inherente afwijkingsbevoegdheid door de minister voor schrijnende gevallen,2003-02-18
kst-24691-35,Motie,Ruimtetekort in mainport Rotterdam; Motie over een rol voor het Rijk binnen de toekomstige organisatievorm voor de Mainport Rotterdam,2002-04-08
kst-24691-36,Motie,Ruimtetekort in mainport Rotterdam; Motie over alternatieven voor Albrandswaard,2002-04-08
kst-24691-44,Motie,Ruimtetekort in mainport Rotterdam; Gewijzigde motie over schade voor de visserijsector ten gevolge van zandwinning voor de aanleg van de Tweede Maasvlakte,2002-04-08
kst-24691-39,Motie,Ruimtetekort in mainport Rotterdam; Motie,2002-04-11
kst-24691-40,Motie,Ruimtetekort in mainport Rotterdam; Motie over de realisatie van 750 ha. extra natuur in de regio Rotterdam-Rijnmond,2002-04-08
kst-24691-41,Brief,Ruimtetekort in mainport Rotterdam; Motie over de gevolgen van de aanleg van de Tweede Maasvlakte op de Noordzeekust en het Waddenzeegebied,2002-04-08
kst-24691-42,Motie,Ruimtetekort in mainport Rotterdam; Motie over samenwerking tussen de mainports Rotterdam en Antwerpen,2002-04-08
kst-24691-43,Motie,Ruimtetekort in mainport Rotterdam; Motie over de omvang van het zeereservaat,2002-04-08
kst-28000-VI-34,Motie,Vaststelling begroting van het Ministerie van Justitie (VI) voor het jaar 2002; Motie met de vraag om een notitie over de verhouding tussen de grondwettelijke vrijheden van meningsuiting en godsdienst inzake homoseksualiteit,2001-11-08
kst-32813-257,Motie,Kabinetsaanpak Klimaatbeleid; Motie; Motie van het lid Moorlag over de gevolgen van de energietransitie voor de positie van werknemers,2018-12-06
kst-21501-07-1559,Brief,Raad voor Economische en Financiële Zaken; Brief regering; Aanvulling op de geannoteerde agenda Eurogroep en Ecofinraad van 3 en 4 december 2018,2018-11-28
kst-25424-430,Brief,Geestelijke gezondheidszorg; Brief regering; Ontwikkelingen Acute ggz,2018-11-27
kst-25424-429,Brief,Geestelijke gezondheidszorg; Brief regering; Stand van zaken inzake vervolg op het Schakelteam personen met verward gedrag,2018-11-26
kst-25763-30,Verslag,Evaluatie Wet Bopz; Verslag van een schriftelijk overleg; Verslag van een schriftelijk overleg over het ontwerpbesluit houdende wijziging van het Besluit rechtspositieregelen Bopz in verband met de verruiming van de huisregels van psychiatrische ziekenhuizen,2018-11-05
kst-29689-941,Brief,Herziening Zorgstelsel; Brief regering; Bevorderen contracteren,2018-11-09
kst-25424-425,Brief,"Geestelijke gezondheidszorg; Brief regering; Reactie op het verzoek van het lid Van den Berg, gedaan tijdens de Regeling van Werkzaamheden van 11 september 2018, over het bericht ‘Ggz-kliniek Altrecht schrijft familie excuusbrief na zelfdoding patiënte’",2018-10-09
kst-25424-426,Brief,Geestelijke gezondheidszorg; Brief regering; Monitoring gespecialiseerde ggz instellingen,2018-10-10
kst-25424-424,Brief,Geestelijke gezondheidszorg; Brief regering; Eindrapportage Schakelteam personen met verward gedrag,2018-09-26
kst-33628-37,Brief,Forensische zorg; Brief regering; Ketenveldnorm voor levensloopfunctie en beveiligde zorg in het kader van Continuïteit van zorg,2018-09-13
kst-25763-29,Brief,"Evaluatie Wet Bopz; Brief regering; Onderzoek ‘Bopz patiënten in FPC, een wringende noodzaak’",2018-09-13
kst-25424-422,Brief,Geestelijke gezondheidszorg; Brief regering; Onderzoek (niet-)gecontracteerde GGZ,2018-07-17
kst-25424-423,Brief,Geestelijke gezondheidszorg; Brief regering; Wachttijden in de ggz,2018-07-17
kst-25424-343,Brief,Geestelijke gezondheidszorg; Brief regering; Voortgangsrapportage ontwikkeling van de nieuwe bekostiging in de geneeskundige geestelijke gezondheidszorg (ggz),2017-02-21
kst-25424-417,Brief,Geestelijke gezondheidszorg; Brief regering; Rapport: Toezicht op de ambulante zorg,2018-06-25
kst-25424-418,Brief,Geestelijke gezondheidszorg; Brief regering; Convenanten vervoer personen met verward gedrag,2018-07-02
kst-35000-A-28,Brief,Vaststelling van de begrotingsstaat van het Infrastructuurfonds voor het jaar 2019; Brief regering; Ophoging projectbudget Zeetoegang IJmond,2018-11-26
kst-31409-199,Brief,Zee- en binnenvaart; Brief regering; Registratie en certificering zeeschepen van organisaties met ideële doelstellingen,2018-09-26
kst-29668-49,Brief,Beleidsplan Crisisbeheersing; Brief regering; Standpunten aanbevelingen OVV-rapport ‘Stuwaanvaring door Benzeentanker bij Grave’ en reactie op rapport ‘Evaluatie crisisbeheersing Grave’,2018-11-02
kst-34775-XII-76,Brief,Vaststelling van de begrotingsstaten van het Ministerie van Infrastructuur en Waterstaat (XII) voor het jaar 2018 ; Brief regering; Aanbesteding Rigid Hull Inflatable Boats (RHIB’s),2018-08-20
kst-31409-198,Brief,Zee- en binnenvaart; Brief regering; Uitkomsten bemiddeling in het langlopende geschil tussen rederij Noordgat en de KNRM over het verlenen van niet-spoedeisende maritieme hulp door de KNRM,2018-08-02
kst-31409-196,Brief,Zee- en binnenvaart; Brief regering; Diverse toezeggingen naar aanleiding van het algemeen overleg Maritiem van 17 mei 2018 en het dertigledendebat over ‘Frauduleus handelen van afvalinzamelbedrijven’ van 31 mei 2018,2018-07-05
kst-31409-192,Brief,Zee- en binnenvaart; Brief regering; Reactie op verzoek commissie over het artikel ‘Smerige praktijken van de scheepvaart’,2018-06-14
kst-35059-3,Brief,Initiatiefnota van het lid Van den Bosch over een ambitieus reservistenbeleid; Brief regering; Uitstel reactie op initiatiefnota van het lid Van den Bosch over een ambitieus reservistenbeleid,2018-11-30
kst-23645-682,Brief,Openbaar vervoer; Brief regering; Onderzoekopzet effecten van openbaar aanbesteden in het openbaar vervoer,2018-11-20
kst-29984-797,Brief,Spoor: vervoer- en beheerplan; Brief regering; Quickscan mogelijke decentralisatie vier sprinterdiensten en besluitvorming Dordrecht-Brabant,2018-11-20
kst-29984-798,Brief,Spoor: vervoer- en beheerplan; Brief regering; Onderzoek mogelijkheden doortrekken Valleilijn,2018-11-20
kst-25268-172,Brief,Zelfstandige bestuursorganen; Brief regering; Voortgang omvorming ProRail,2018-10-19
kst-31016-148,Brief,"Ziekenhuiszorg; Brief regering; Reactie op het verzoek van het lid van Gerven, gedaan tijdens de Regeling van werkzaamheden van 14 november 2018, over de ontwikkelingen rond MC Slotervaart",2018-11-20
kst-31016-150,Verslag,Ziekenhuiszorg; Verslag van een schriftelijk overleg; Verslag van een schriftelijk overleg inzake het faillissement van ziekenhuizen,2018-11-21
kst-31016-146,Brief,Ziekenhuiszorg; Brief regering; Antwoorden op aanvullende vragen commissie over de gestuurde brieven en antwoorden inzake het faillissement van ziekenhuizen,2018-11-15
kst-33561-43,Brief,Structuurvisie Windenergie op Zee (SV WoZ); Brief Algemene Rekenkamer; Focus op kosten windenergie op zee,2018-09-27
kst-35103-1,Verslag,Verslag van een werkbezoek aan Berlijn door een delegatie van de commissie Defensie; Verslag van een werkbezoek; Verslag van een werkbezoek aan Berlijn door een delegatie van de commissie Defensie op 8 oktober 2018,2018-11-30
kst-25087-224,Brief,Internationaal fiscaal (verdrags)beleid; Brief regering; Reactie op verzoek commissie over het onderzoek van de Europese Commissie naar de afspraak tussen de Belastingdienst en Shell over dividendbelasting,2018-12-03
kst-35020-2,Verslag,"Protocol tot wijziging van het Verdrag tussen het Koninkrijk der Nederlanden en Oekraïne tot het vermijden van dubbele belasting en het voorkomen van het ontgaan van belasting met betrekking tot belastingen naar het inkomen en naar het vermogen; ’s-Gravenhage, 12 maart 2018; Verslag van een schriftelijk overleg; Verslag van een schriftelijk overleg over het Protocol tot wijziging van het Verdrag tussen het Koninkrijk der Nederlanden en Oekraïne tot het vermijden van dubbele belasting en het voorkomen van het ontgaan van belasting met betrekking tot belastingen naar het inkomen en naar het vermogen; ’s-Gravenhage, 12 maart 2018",2018-11-28
kst-34834-5,Motie,"Initiatiefnota van de leden Dijksma, Kooiman en Ellemeet: “Big Farma: niet gezond!”; Brief regering; Reactie op de initiatiefnota van de leden Dijksma, Kooiman en Ellemeet: “Big Farma: niet gezond!”",2018-06-15
kst-29664-191,Brief,Binnenvisserij; Brief regering; Toekomst van de IJsselmeervisserij en derde tussentijdse rapportage in het kader van het EU-aalherstelplan,2018-09-13
kst-32201-92,Brief,Herziening van het Gemeenschappelijk Visserijbeleid; Brief regering; Voortgang visserijbeleid,2018-11-27
kst-29675-192,Brief,Zee- en kustvisserij; Brief regering; Reactie op verzoek commissie inzake verdringen van beroepsvisserij door nieuwe activiteiten op zee zoals windenergie en zandwinning,2018-11-07
kst-31409-201,Brief,Zee- en binnenvaart; Brief regering; Stand van zaken moties en toezeggingen en beleidsontwikkelingen maritieme zaken,2018-11-29
kst-31409-193,Brief,Zee- en binnenvaart; Brief regering; Uitvoering van de motie van de leden Van Aalst en Laçin over toepassing van de CCR-regels,2018-06-21
kst-31016-147,Brief,Ziekenhuiszorg; Brief regering; Reactie op verzoek commissie over toezending van het ‘afschalingsdocument’,2018-11-19
kst-34834-9,Motie,"Initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: “Big Farma: niet gezond!”; Motie; Motie van het lid Van den Berg over onderzoek naar biomarkers",2018-12-10
kst-34834-17,Motie,"Initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: “Big Farma: niet gezond!”; Motie (gewijzigd/nader); Gewijzigde motie van het lid Van den Berg over geneesmiddelen voorzien van een biomarker (t.v.v. 34834-9)",2019-03-19
